AttackValueHomeTeam,DefenseValueHomeTeam,ValueHomeTeam,AttackValueAwayTeam,DefenseValueAwayTeam,ValueAwayTeam,resultado,AverageGoalsInFavorHomeTeam,AverageGoalsAgainstHomeTeam,AverageGoalsInFavorAwayTeam,AverageGoalsAgainstAwayTeam,HomeWinLastFiveIndice,HomeDrawLastFiveIndice,HomeDefeatLastFiveIndice,AwayWinLastFiveIndice,AwayDrawLastFiveIndice,AwayDefeatLastFiveIndice,AttackStrengthHomeTeam,DefenseStrengthHomeTeam,StrengthHomeTeam,AttackStrengthAwayTeam,DefenseStrengthAwayTeam,StrengthAwayTeam
9.168571428571427,7.372857142857143,8.093333333333332,10.733333333333333,9.474,10.621999999999998,0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.726785714285714,0.40476190476190477,1.5706666666666669,3.6444444444444444,3.6399999999999997,3.709
7.965,5.818333333333334,6.838666666666667,5.9628571428571435,7.965,6.757857142857143,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.9236111111111107,0.7983333333333332,2.069333333333333,2.1420634920634924,3.7216666666666667,2.6300714285714286
8.918888888888889,18.035999999999998,12.342,6.474285714285715,11.341666666666667,8.672142857142857,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.311111111111111,9.14,4.836333333333334,1.2595238095238095,3.1,1.6907142857142858
6.828888888888888,10.434000000000001,8.072000000000001,13.905714285714286,15.65,14.454615384615382,-1,2.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.6388888888888888,2.31,1.908666666666667,3.96984126984127,6.17,4.8674871794871795
6.1125,12.091666666666667,8.644,9.433333333333334,10.134,9.827333333333334,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.8208333333333333,6.485714285714286,4.0812380952380956,1.6166666666666667,3.551666666666667,2.2729999999999997
10.872500000000002,9.428333333333333,10.384666666666668,11.907499999999999,16.058333333333334,13.985333333333333,0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.541666666666667,1.6,2.229,3.1937499999999996,5.866666666666667,4.418333333333334
7.35625,6.333333333333333,6.918000000000001,8.66,10.309999999999999,9.205333333333334,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.3,1.8166666666666669,3.2983333333333333,2.1944444444444446,4.526666666666667,3.243666666666667
4.30875,4.973333333333334,4.838,9.296666666666667,11.475999999999999,9.97,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.6444444444444444,1.4649999999999999,1.5636666666666665,1.3423611111111111,3.5100000000000002,2.2349285714285716
4.113,3.9074999999999998,3.9193333333333333,9.753749999999998,5.6383333333333345,7.937333333333332,-1,0.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.836111111111111,-0.1800000000000002,0.5130000000000001,4.070138888888889,3.1816666666666666,3.8436666666666666
5.616666666666666,13.25,8.236666666666666,3.92375,5.278333333333332,4.508000000000001,1,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.1666666666666665,7.18,3.374666666666667,0.78125,1.8083333333333331,1.2436666666666665
8.14,10.940000000000001,9.229285714285714,8.376666666666667,9.856,8.852,1,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,3.2271825396825395,2.4933333333333336,2.7816666666666667,2.3407407407407406,1.9733333333333334,2.246888888888889
15.011428571428572,13.957999999999998,14.362307692307693,9.09,6.204285714285715,7.503571428571429,-1,2.0,0.0,1.0,1.5,1.0,0.0,0.0,0.0,0.5,0.5,3.727513227513228,3.893333333333333,3.787555555555555,3.744444444444444,1.83015873015873,2.946984126984127
13.835,13.713999999999999,14.090714285714284,5.01625,11.313333333333333,7.764666666666666,0,2.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,3.6041666666666665,4.224444444444445,3.9872222222222224,1.6180555555555554,5.4904761904761905,3.465047619047619
10.195555555555558,11.291999999999998,10.679333333333334,6.493333333333333,13.059999999999999,8.843333333333332,0,0.5,0.5,1.0,1.0,0.0,1.0,0.0,0.5,0.0,0.5,1.2703703703703704,4.427777777777778,2.3904444444444444,1.3925925925925924,3.4499999999999997,2.1357777777777778
7.769999999999999,7.427142857142857,7.6466666666666665,10.071111111111112,8.418,9.693999999999999,-1,1.5,1.0,1.5,1.0,0.5,0.5,0.0,0.5,0.5,0.0,2.32010582010582,2.8463492063492066,2.5115555555555558,3.087037037037037,1.7733333333333332,2.6544444444444446
6.604444444444446,12.209999999999999,8.599333333333334,6.824444444444445,12.664,8.859333333333334,-1,0.5,1.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.0,1.3949074074074075,3.2999999999999994,2.1663968253968253,1.9518518518518517,6.72,3.721333333333334
9.366666666666667,7.336,8.644,7.981111111111111,8.578,8.006,1,1.5,1.0,1.0,2.5,0.5,0.0,0.5,0.0,0.5,0.5,3.8356481481481475,4.721111111111111,4.242444444444444,2.136375661375661,0.46317460317460313,1.3260000000000003
11.915555555555557,8.959999999999999,11.151333333333332,7.33125,6.278333333333333,6.757333333333334,1,1.5,1.0,1.5,1.0,0.5,0.5,0.0,0.5,0.5,0.0,3.885185185185185,2.36,3.401111111111111,3.057407407407407,1.4877777777777776,2.441333333333333
5.58888888888889,7.182,6.144,3.8200000000000003,3.604,3.6113333333333335,1,0.5,1.5,0.0,2.5,0.0,0.0,1.0,0.0,0.0,1.0,1.513425925925926,3.8722222222222222,2.448444444444444,0.8796296296296294,-0.4066666666666669,0.4486666666666667
5.265555555555555,6.2700000000000005,5.5793333333333335,9.104444444444445,18.414,12.59666666666667,-1,0.5,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,1.794708994708995,2.3744444444444444,1.9544920634920635,2.3703703703703702,8.026666666666666,4.4702222222222225
