"atleta_id","clube_id","idTemporada"
"37958","262",1
"68873","262",1
"78086","262",1
"85798","262",1
"89258","262",1
"60795","263",1
"38109","263",1
"78604","263",1
"89492","263",1
"79973","263",1
"51413","264",1
"42234","264",1
"69051","264",1
"80286","264",1
"38133","264",1
"88867","265",1
"73517","265",1
"79265","265",1
"71102","265",1
"68872","265",1
"68884","266",1
"42330","266",1
"49673","266",1
"85004","266",1
"38431","266",1
"62003","275",1
"72290","275",1
"68914","275",1
"85083","275",1
"38140","275",1
"70951","275",1
"68932","276",1
"51175","276",1
"38055","276",1
"69040","277",1
"78839","277",1
"85425","277",1
"37984","277",1
"68979","282",1
"52950","282",1
"85418","282",1
"69183","282",1
"89975","282",1
"37656","283",1
"68928","283",1
"79048","283",1
"82769","283",1
"87611","284",1
"37770","284",1
"72488","284",1
"87008","284",1
"69180","284",1
"82896","285",1
"71724","285",1
"36443","285",1
"69041","285",1
"85066","287",1
"71571","287",1
"50284","287",1
"74061","287",1
"70216","287",1
"63034","287",1
"37767","288",1
"38038","288",1
"77556","288",1
"86928","288",1
"86929","288",1
"82928","288",1
"89897","288",1
"37899","290",1
"50461","290",1
"88147","290",1
"37749","290",1
"41218","292",1
"86517","292",1
"74096","292",1
"69012","293",1
"71631","293",1
"63082","293",1
"62101","293",1
"86760","293",1
"80192","293",1
"62121","294",1
"79535","294",1
"86449","294",1
"73336","294",1
"82453","294",1
"72603","294",1
"82768","315",1
"40130","315",1
"87199","315",1
"52897","315",1
"37659","315",1
"88916","316",1
"68805","316",1
"77912","316",1
"88156","316",1
"72018","316",1
"82419","316",1
"79066","316",1
"88848","316",1
"71602","262",1
"50453","262",1
"88065","262",1
"69177","262",1
"37701","262",1
"38184","262",1
"78647","262",1
"86314","263",1
"86315","263",1
"73869","263",1
"78436","263",1
"68995","263",1
"71947","263",1
"37621","263",1
"50362","263",1
"38523","263",1
"37663","263",1
"42500","264",1
"60852","264",1
"38229","264",1
"63018","264",1
"87228","264",1
"80163","265",1
"69209","265",1
"50346","265",1
"51781","265",1
"87213","265",1
"73359","265",1
"68821","265",1
"78077","265",1
"84379","265",1
"42499","266",1
"85424","266",1
"86444","266",1
"39572","266",1
"38451","266",1
"89257","266",1
"80667","266",1
"82641","266",1
"86410","275",1
"89273","275",1
"63119","275",1
"88874","275",1
"38432","275",1
"72375","275",1
"89157","275",1
"89681","275",1
"77827","275",1
"62130","275",1
"70133","275",1
